Process Name	Instances	CPU	Memory	Threads	Handles	Data	Status
System	1	0.01	0.14	236	0	0.00	Normal
smss	1	0.00	0.23	2	60	0.00	Normal
csrss	3	0.00	21.09	35	0	0.00	Normal
wininit	1	0.00	0.73	1	148	0.00	Normal
winlogon	2	0.00	7.61	8	539	0.00	Normal
services	1	0.00	5.87	7	674	0.00	Normal
lsass	1	0.00	18.22	9	0	0.00	Normal
svchost	79	0.03	579.30	410	0	0.01	Normal
fontdrvhost	3	0.00	8.45	15	111	0.00	Normal
dwm	2	0.01	59.75	29	0	0.00	Normal
Memory Compression	1	0.01	205.04	78	0	0.00	Normal
spoolsv	1	0.00	4.04	9	431	0.00	Normal
vmtoolsd	2	0.00	15.55	17	669	0.00	Normal
VGAuthService	1	0.00	0.24	2	170	0.00	Normal
vm3dservice	3	0.00	3.91	11	391	0.00	Normal
MsMpEng	1	0.04	109.95	54	895	0.00	Normal
MpDefenderCoreService	1	0.00	10.53	9	498	0.00	Normal
dllhost	6	0.00	39.99	33	0	0.00	Normal
msdtc	1	0.00	0.34	9	237	0.00	Normal
AggregatorHost	1	0.00	5.67	2	136	0.00	Normal
NisSrv	1	0.00	3.79	3	213	0.00	Normal
SgrmBroker	1	0.00	4.55	6	107	0.00	Normal
uhssvc	1	0.00	11.63	5	327	0.00	Normal
SearchIndexer	1	0.01	50.91	16	953	0.00	Normal
SecurityHealthService	1	0.00	11.01	12	577	0.00	Normal
sihost	2	0.00	47.31	23	0	0.00	Normal
MicrosoftEdgeUpdate	1	0.00	4.18	4	215	0.00	Normal
taskhostw	2	0.00	14.78	13	585	0.00	Normal
explorer	2	0.02	237.56	142	0	0.00	Normal
ctfmon	2	0.00	12.35	22	885	0.00	Normal
Widgets	2	0.00	27.47	43	0	0.00	Normal
WidgetService	2	0.00	12.32	8	600	0.00	Normal
SearchHost	2	0.00	126.03	120	0	0.00	Normal
StartMenuExperienceHost	2	0.00	86.26	31	0	0.00	Normal
RuntimeBroker	13	0.00	170.72	53	0	0.00	Normal
PhoneExperienceHost	1	0.00	22.60	17	0	0.00	Normal
SecurityHealthSystray	2	0.00	5.65	2	364	0.00	Normal
msteams	1	0.00	17.64	53	831	0.00	Normal
msedgewebview2	6	0.00	51.62	142	0	0.00	Normal
WindowsPackageManagerServer	2	0.00	27.99	8	810	0.00	Normal
OneDrive	1	0.00	18.25	23	899	0.00	Normal
OneDrive.Sync.Service	2	0.00	31.56	32	0	0.00	Normal
MoUsoCoreWorker	1	0.00	16.50	6	430	0.00	Normal
MoNotificationUx	1	0.00	2.00	4	262	0.00	Normal
StoreDesktopExtension	2	0.00	3.02	6	626	0.00	Normal
WinStore.App	2	0.00	22.27	21	0	0.00	Normal
ShellExperienceHost	2	0.01	81.72	46	0	0.00	Normal
LogonUI	1	0.00	3.82	5	325	0.00	Normal
ApplicationFrameHost	1	0.00	24.03	2	413	0.00	Normal
SystemSettings	1	0.00	1.09	19	0	0.00	Normal
LockApp	1	0.00	41.49	13	515	0.00	Normal
DataExchangeHost	1	0.00	24.01	1	338	0.00	Normal
conhost	1	0.00	6.83	3	129	0.00	Normal
EasyMiner	1	0.03	54.90	11	550	0.00	Normal
minerdcpu	1	6.25	18.83	19	272	0.00	Normal
HxTsr	1	0.00	21.89	14	387	0.00	Normal
SystemSettingsBroker	1	0.00	16.64	1	237	0.00	Normal
audiodg	1	0.01	11.91	5	218	0.00	Normal
procexp	1	0.00	10.40	2	239	0.00	Normal
procexp64	1	0.15	50.77	9	708	0.00	Normal
SearchProtocolHost	1	0.00	16.19	6	386	0.00	Normal
SearchFilterHost	1	0.00	9.08	4	166	0.00	Normal
