Process	PID	Description	Company Name	I/O Read Bytes	I/O Write Bytes	I/O Other Bytes
msedgewebview2.exe	2516	Microsoft Edge WebView2	Microsoft Corporation	8.6  KB	22.7  KB	12.7  KB
msedge.exe	6572	Microsoft Edge	Microsoft Corporation	28.2  MB	8.6  MB	995.6  KB
msedge.exe	4292	Microsoft Edge	Microsoft Corporation	7.3  KB	216 B	2.5  KB
msedge.exe	3588	Microsoft Edge	Microsoft Corporation	3.6  MB	1.8  MB	50.2  KB
msedge.exe	8644	Microsoft Edge	Microsoft Corporation	34.1  KB	71.5  KB	24.4  KB
msedge.exe	2372	Microsoft Edge	Microsoft Corporation	148.1  KB	54.4  KB	9.0  KB
msedge.exe	11096	Microsoft Edge	Microsoft Corporation	1.7  MB	4.5  MB	12.4  KB
msedge.exe	7668	Microsoft Edge	Microsoft Corporation	73.4  KB	13.5  KB	11.9  KB
msedge.exe	9892	Microsoft Edge	Microsoft Corporation	5.3  KB	67.0  KB	19.7  KB
msedge.exe	9760	Microsoft Edge	Microsoft Corporation	5.3  KB	2.9  KB	19.0  KB
MpDefenderCoreService.exe	3088	Antimalware Core Service	Microsoft Corporation			
Memory Compression	2100					
lsass.exe	824	Local Security Authority Process	Microsoft Corporation			
Interrupts	n/a	Hardware Interrupts and DPCs				
HxTsr.exe	10568	Microsoft Outlook Communications	Microsoft Corporation	490.4  KB	64.1  KB	13.6  KB
fontdrvhost.exe	948					
fontdrvhost.exe	956					
explorer.exe	3784	Windows Explorer	Microsoft Corporation	95.9  MB	160.7  KB	971.1  KB
dwm.exe	528					
ctfmon.exe	7568			19.9  KB		76.5  KB
csrss.exe	600					
csrss.exe	676					
CrossDeviceService.exe	3372	Microsoft Cross Device Service	Microsoft Corporation	730.6  KB		148.5  KB
CrossDeviceResume.exe	5176		Microsoft Corporation	38.5  KB		21.1  KB
backgroundTaskHost.exe	6668	Background Task Host	Microsoft Corporation	22.8  KB		24.8  KB
backgroundTaskHost.exe	2344	Background Task Host	Microsoft Corporation	1.5  MB	4.0  KB	10.5  KB
backgroundTaskHost.exe	5880	Background Task Host	Microsoft Corporation	11.6  KB	14.3  KB	32.8  KB
ApplicationFrameHost.exe	5400	Application Frame Host	Microsoft Corporation	23.8  KB		14.5  KB
AppActions.exe	4412			35.4  KB		6.8  KB
AggregatorHost.exe	5228					

