Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
Registry		9,572 K	53,908 K	104		
System Idle Process	85.32	60 K	8 K	0		
System	1.48	40 K	168 K	4		
 Interrupts	5.19	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		1,160 K	1,472 K	436		
 Memory Compression		908 K	205,748 K	2100		
csrss.exe		2,016 K	7,232 K	600		
wininit.exe		1,560 K	9,060 K	668		
 services.exe		5,032 K	10,492 K	808		
  svchost.exe	< 0.01	14,976 K	41,024 K	940	Host Process for Windows Services	Microsoft Corporation
   StartMenuExperienceHost.exe		55,756 K	134,788 K	3416	Windows Start Experience Host	Microsoft Corporation
   SearchHost.exe	< 0.01	43,576 K	116,792 K	4724		Microsoft Corporation
    msedgewebview2.exe	< 0.01	34,880 K	100,428 K	2360	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		2,200 K	8,884 K	7908	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		14,568 K	36,680 K	4188	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		12,416 K	37,548 K	8512	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		8,492 K	18,348 K	4004	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		54,640 K	77,580 K	13372	Microsoft Edge WebView2	Microsoft Corporation
   RuntimeBroker.exe		11,788 K	57,844 K	3748	Runtime Broker	Microsoft Corporation
   WidgetService.exe		4,820 K	27,484 K	3460	WidgetService.exe	Microsoft Corporation
   dllhost.exe		2,864 K	16,124 K	10312	COM Surrogate	Microsoft Corporation
   UserOOBEBroker.exe		1,692 K	11,188 K	13356	User OOBE Broker	Microsoft Corporation
   ApplicationFrameHost.exe		6,020 K	36,916 K	10616	Application Frame Host	Microsoft Corporation
   Widgets.exe		11,924 K	67,308 K	12836		Microsoft Corporation
    msedgewebview2.exe		37,032 K	115,588 K	5864	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		2,156 K	9,104 K	12872	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		16,876 K	45,536 K	7416	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		14,956 K	46,012 K	8352	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		9,276 K	20,168 K	7020	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		153,504 K	220,148 K	8132	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		8,044 K	21,664 K	3248	Microsoft Edge WebView2	Microsoft Corporation
   backgroundTaskHost.exe		13,672 K	41,320 K	5820	Background Task Host	Microsoft Corporation
   RuntimeBroker.exe		2,272 K	10,520 K	9728	Runtime Broker	Microsoft Corporation
   FileCoAuth.exe		9,820 K	25,364 K	11000	Microsoft OneDriveFile Co-Authoring Executable	Microsoft Corporation
   AppActions.exe		16,744 K	40,764 K	15012		
  svchost.exe		9,068 K	19,248 K	524	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	2,956 K	14,016 K	564	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,692 K	13,372 K	1116	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,588 K	15,376 K	1132	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,364 K	6,796 K	1140	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		6,360 K	16,240 K	1220	Host Process for Windows Services	Microsoft Corporation
   taskhostw.exe		6,624 K	22,716 K	6772	Host Process for Windows Tasks	Microsoft Corporation
  svchost.exe	< 0.01	1,748 K	7,840 K	1236	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,860 K	16,064 K	1284	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		5,988 K	8,836 K	1296	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		5,228 K	19,096 K	1428	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	3,588 K	18,184 K	1444	Host Process for Windows Services	Microsoft Corporation
   sihost.exe		7,064 K	46,812 K	11396	Shell Infrastructure Host	Microsoft Corporation
    ShellHost.exe		6,512 K	39,364 K	6076	ShellHost	Microsoft Corporation
    CrossDeviceResume.exe		8,192 K	44,852 K	5552		Microsoft Corporation
  svchost.exe		1,536 K	9,048 K	1496	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,696 K	11,872 K	1744	Host Process for Windows Services	Microsoft Corporation
  VBoxService.exe	< 0.01	3,308 K	8,684 K	1772	VirtualBox Guest Additions Service	Oracle and/or its affiliates
  svchost.exe		15,980 K	18,996 K	1828	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	105,644 K	118,060 K	1968	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,076 K	10,416 K	1980	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,380 K	9,804 K	1992	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,400 K	7,652 K	2000	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,900 K	10,576 K	2072	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,852 K	9,648 K	2132	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,884 K	10,620 K	2160	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,232 K	10,492 K	2176	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,412 K	18,288 K	2292	Host Process for Windows Services	Microsoft Corporation
   audiodg.exe		6,588 K	16,136 K	14856		
  svchost.exe		1,628 K	8,920 K	2332	Host Process for Windows Services	Microsoft Corporation
   ctfmon.exe	< 0.01	27,768 K	44,040 K	11276		
  svchost.exe		31,376 K	37,388 K	2412	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,160 K	12,380 K	2424	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,308 K	12,092 K	2436	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,632 K	17,684 K	2576	Host Process for Windows Services	Microsoft Corporation
  spoolsv.exe		5,564 K	19,132 K	2744	Spooler SubSystem App	Microsoft Corporation
  svchost.exe		13,752 K	25,980 K	2768	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,828 K	10,032 K	2852	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,272 K	20,188 K	2988	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		22,572 K	52,088 K	3000	Host Process for Windows Services	Microsoft Corporation
   AggregatorHost.exe		5,280 K	13,620 K	5228		
  svchost.exe		24,468 K	34,296 K	3012	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,876 K	14,044 K	708	Host Process for Windows Services	Microsoft Corporation
  OfficeClickToRun.exe		35,156 K	56,536 K	2236	Microsoft Office Click-to-Run (SxS)	Microsoft Corporation
  svchost.exe		1,292 K	7,384 K	3076	Host Process for Windows Services	Microsoft Corporation
  MpDefenderCoreService.exe		10,192 K	24,188 K	3088	Antimalware Core Service	Microsoft Corporation
  snmp.exe		4,292 K	10,456 K	3096	SNMP Service	Microsoft Corporation
  svchost.exe		7,232 K	19,656 K	3108	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,636 K	24,552 K	3148	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,736 K	9,596 K	3216	Host Process for Windows Services	Microsoft Corporation
  MsMpEng.exe	< 0.01	293,564 K	224,520 K	3232	Antimalware Service Executable	Microsoft Corporation
  svchost.exe		2,300 K	11,876 K	3280	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,360 K	10,580 K	4608	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,832 K	26,384 K	3172	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,440 K	28,064 K	3568	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,248 K	25,028 K	4428	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,668 K	16,420 K	4884	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		5,312 K	22,912 K	1736	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,848 K	9,628 K	5516	Host Process for Windows Services	Microsoft Corporation
  SearchIndexer.exe		30,076 K	36,076 K	6000	Microsoft Windows Search Indexer	Microsoft Corporation
   SearchProtocolHost.exe		2,852 K	16,612 K	8928		
  svchost.exe		9,688 K	32,296 K	5000	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,300 K	16,408 K	8256	Host Process for Windows Services	Microsoft Corporation
  NisSrv.exe		4,180 K	12,996 K	4168	Microsoft Network Realtime Inspection Service	Microsoft Corporation
  svchost.exe		6,888 K	27,860 K	8964	Host Process for Windows Services	Microsoft Corporation
  SecurityHealthService.exe		8,296 K	24,128 K	8064	Windows Security Health Service	Microsoft Corporation
  svchost.exe		5,764 K	22,884 K	8380	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,600 K	18,396 K	4940	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,084 K	15,340 K	10328	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,800 K	9,856 K	10404	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,400 K	15,756 K	10444	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,996 K	12,796 K	10504	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,760 K	8,948 K	5996	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,568 K	15,708 K	2196	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,088 K	11,100 K	10412	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,816 K	11,364 K	6904	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		6,276 K	12,496 K	5172	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,052 K	10,004 K	11280	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,536 K	8,540 K	4460	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,344 K	12,944 K	1784	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,932 K	22,500 K	10136	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,256 K	7,556 K	10072	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		6,096 K	32,680 K	14912	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,584 K	8,252 K	12548	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,960 K	28,076 K	6644	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,560 K	23,220 K	14248	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,852 K	10,360 K	11892	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,936 K	16,224 K	11328	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		7,924 K	32,696 K	14800	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,860 K	15,296 K	10116	Host Process for Windows Services	Microsoft Corporation
 lsass.exe	< 0.01	9,304 K	31,116 K	824	Local Security Authority Process	Microsoft Corporation
 fontdrvhost.exe		1,668 K	3,888 K	948		
Microsoft.SharePoint.exe	< 0.01	33,088 K	46,128 K	13344		
csrss.exe	< 0.01	2,236 K	8,140 K	15288		
winlogon.exe		2,444 K	12,860 K	14564		
 fontdrvhost.exe		4,308 K	9,472 K	7892		
 dwm.exe	1.48	80,648 K	103,192 K	12320		
explorer.exe	0.74	152,816 K	321,924 K	13700	Windows Explorer	Microsoft Corporation
 SecurityHealthSystray.exe		1,876 K	12,716 K	12904	Windows Security notification icon	Microsoft Corporation
 VBoxTray.exe	< 0.01	2,804 K	14,652 K	14976	VirtualBox Guest Additions Tray Application	Oracle and/or its affiliates
 OneDrive.exe		51,192 K	113,824 K	8400	Microsoft OneDrive	Microsoft Corporation
 procexp.exe		4,728 K	14,368 K	14808	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com
  procexp64.exe	5.19	30,596 K	93,020 K	1580	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com
Telegram.exe	< 0.01	250,384 K	123,812 K	12648	Telegram Desktop	Telegram FZ-LLC
msedge.exe	< 0.01	48,316 K	122,344 K	11512	Microsoft Edge	Microsoft Corporation
 msedge.exe		2,160 K	9,316 K	8044	Microsoft Edge	Microsoft Corporation
 msedge.exe		11,600 K	28,024 K	4824	Microsoft Edge	Microsoft Corporation
 msedge.exe		13,264 K	39,204 K	6916	Microsoft Edge	Microsoft Corporation
 msedge.exe	< 0.01	8,184 K	19,196 K	11848	Microsoft Edge	Microsoft Corporation
 msedge.exe		79,528 K	94,856 K	1216	Microsoft Edge	Microsoft Corporation
 msedge.exe		14,952 K	27,080 K	14444	Microsoft Edge	Microsoft Corporation

