Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"00:0c:29:e9:d5:e3",31643,32835760,9129,833762,22514,32001998
"00:50:56:c0:00:08",60,4680,60,4680,0,0
"00:50:56:e5:56:f1",31624,32833688,22513,32001656,9111,832032
"00:50:56:e7:26:e6",4,802,2,402,2,400
"01:00:5e:00:00:16",5,270,0,0,5,270
"01:00:5e:00:00:fb",22,1600,0,0,22,1600
"01:00:5e:00:00:fc",11,715,0,0,11,715
"33:33:00:00:00:16",5,450,0,0,5,450
"33:33:00:00:00:fb",22,2040,0,0,22,2040
"33:33:00:01:00:03",11,935,0,0,11,935
"ff:ff:ff:ff:ff:ff",1,60,0,0,1,60
