Process Name	Instances	CPU	Memory	Threads	Handles	Data	Status
System	1	0.66	0.14	257	0	0.10	Normal
smss	1	0.00	0.90	2	57	0.00	Normal
csrss	2	0.00	33.80	24	854	0.00	Normal
wininit	1	0.00	5.86	1	148	0.00	Normal
winlogon	1	0.00	10.28	4	261	0.00	Normal
services	1	0.00	7.80	7	623	0.00	Normal
lsass	1	0.00	18.72	9	0	0.00	Normal
svchost	68	0.30	900.55	430	0	5.79	Normal
fontdrvhost	2	0.00	9.74	10	74	0.00	Normal
dwm	1	0.02	58.15	16	0	0.00	Normal
Memory Compression	1	0.06	179.47	22	0	0.00	Normal
spoolsv	1	0.00	11.82	10	432	0.00	Normal
vmtoolsd	2	0.00	34.38	18	677	0.00	Normal
VGAuthService	1	0.00	7.54	2	170	0.00	Normal
vm3dservice	2	0.00	12.67	7	257	0.00	Normal
MsMpEng	1	0.02	177.87	54	969	0.00	Normal
MpDefenderCoreService	1	0.00	17.80	9	496	0.00	Normal
dllhost	3	0.00	38.05	23	818	0.00	Normal
AggregatorHost	1	0.00	5.39	1	99	0.00	Normal
msdtc	1	0.00	7.93	9	237	0.00	Normal
MoUsoCoreWorker	1	0.00	21.63	9	486	0.00	Normal
NisSrv	1	0.00	9.78	3	213	0.00	Normal
SecurityHealthService	1	0.00	18.05	11	569	0.00	Normal
sihost	1	0.00	32.85	10	612	0.00	Normal
MicrosoftEdgeUpdate	1	0.00	3.69	4	215	0.00	Normal
taskhostw	1	0.01	17.32	8	315	0.07	Normal
ctfmon	1	0.00	18.73	12	431	0.00	Normal
explorer	1	0.01	156.61	63	0	0.00	Normal
SearchHost	1	0.00	100.62	70	0	0.00	Normal
StartMenuExperienceHost	1	0.00	64.59	10	665	0.00	Normal
RuntimeBroker	5	0.00	117.67	23	0	0.00	Normal
SearchIndexer	1	0.00	37.18	16	944	0.00	Normal
SecurityHealthSystray	1	0.00	9.53	1	184	0.00	Normal
ShellExperienceHost	1	0.00	43.76	16	620	0.00	Normal
msteams	1	0.00	11.64	53	814	0.00	Normal
msedgewebview2	6	0.01	45.64	137	0	0.00	Normal
brave	8	0.75	362.37	161	0	1.24	Normal
MoNotificationUx	1	0.00	13.56	4	351	0.00	Normal
OneDrive	1	0.00	92.72	23	904	0.00	Normal
OneDrive.Sync.Service	1	0.00	39.76	15	515	0.00	Normal
SgrmBroker	1	0.00	7.32	6	107	0.00	Normal
uhssvc	1	0.00	17.26	3	271	0.00	Normal
StoreDesktopExtension	1	0.00	25.00	3	313	0.00	Normal
WinStore.App	1	0.00	58.26	11	559	0.00	Normal
audiodg	1	0.00	8.44	6	161	0.00	Normal
